
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,1,1,

red_room_dT,red_box_T,green_room_dT,green_box_T,blue_room_dT,blue_box_T,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,
0,0,0,0,0,0,

0,1121,163,520,95,224,
0,1121,168,494,89,266,
0,1121,177,533,90,245,
0,1121,206,520,81,252,
0,1121,182,507,86,245,
0,1121,170,455,82,252,
0,1121,202,546,89,245,
0,1121,174,520,83,252,
0,1121,260,572,75,252,
0,1121,166,494,95,259,
0,1121,149,494,93,252,
0,1121,191,507,86,259,
0,1121,212,520,81,238,
0,1121,121,520,91,238,
0,1121,154,520,84,252,
0,1121,195,546,82,252,
0,1121,190,533,81,245,
0,1121,194,494,91,259,
0,1121,221,533,78,231,
0,1121,239,533,85,266,
0,1121,234,546,82,245,
0,1121,199,559,87,217,
0,1121,187,494,82,245,
0,1121,242,559,81,245,
0,1121,165,507,92,238,
0,1121,185,494,89,245,
0,1121,198,520,82,252,
0,1121,168,520,84,252,
0,1121,222,533,84,259,
0,1121,148,494,90,238,
0,1121,169,481,85,238,
0,1121,165,507,95,266,
0,1121,179,533,91,245,
0,1121,203,546,79,252,
0,1121,210,546,84,245,
0,1121,166,520,83,238,
0,1121,200,533,87,259,
0,1121,216,520,88,238,
0,1121,174,507,87,259,
0,1121,146,507,85,224,
0,1121,149,533,100,245,
0,1121,177,507,83,252,
0,1121,205,533,78,259,
0,1121,173,507,89,266,
0,1121,166,494,81,231,
0,1121,201,546,87,238,
0,1121,175,520,85,252,
0,1121,220,533,84,245,
0,1121,185,520,79,259,
0,1121,178,520,79,252,
0,1121,175,520,84,259,
0,1121,163,533,94,245,
0,1121,182,507,86,259,
0,1121,167,533,86,259,
0,1121,193,507,82,231,
0,1121,182,520,83,252,
0,1121,184,507,89,266,
0,1121,235,572,84,245,
0,1121,203,533,84,231,
0,1121,172,494,85,252,
0,1121,169,559,99,238,
0,1121,166,520,88,238,
0,1121,173,533,99,245,
0,1121,219,546,82,252,
0,1121,183,507,83,259,
0,1121,163,533,87,238,
0,1121,198,546,88,252,
0,1121,205,546,81,259,
0,1121,170,533,92,259,
0,1121,211,520,73,245,
0,1121,210,520,94,259,
0,1121,206,533,90,266,
0,1121,197,533,94,259,
0,1121,180,520,98,273,
0,1121,211,546,83,238,
0,1121,214,533,79,231,
0,1121,185,468,89,245,
0,1121,221,559,82,252,
0,1121,216,546,88,252,
0,1121,181,520,80,238,
0,1121,247,559,78,245,
0,1121,252,585,76,245,
0,1121,182,533,98,273,
0,1121,197,546,86,259,
0,1121,193,520,80,231,
0,1121,166,494,81,245,
0,1121,216,533,79,238,
0,1121,178,507,94,259,
0,1121,203,546,94,231,
0,1121,128,494,83,259,
0,1121,200,546,93,238,
0,1121,165,507,86,273,
0,1121,207,533,89,252,
0,1121,226,559,89,259,
0,1121,146,520,95,273,
0,1121,172,533,83,245,
0,1121,203,572,84,224,
0,1121,233,533,77,238,
0,1121,133,468,88,266,
0,1121,132,481,86,245,

0,1121,274,598,194,385,
0,1121,262,585,197,357,
0,1121,297,572,184,350,
0,1121,258,611,191,378,
0,1121,241,611,186,336,
0,1121,255,585,186,357,
0,1121,320,637,192,357,
0,1121,283,611,182,336,
0,1121,265,637,202,343,
0,1121,301,650,195,371,
0,1121,259,598,188,371,
0,1121,245,585,195,371,
0,1121,263,598,188,364,
0,1121,290,611,178,357,
0,1121,285,624,189,357,
0,1121,286,637,194,364,
0,1121,297,598,178,343,
0,1121,278,611,194,385,
0,1121,319,637,169,350,
0,1121,225,624,198,343,
0,1121,243,624,204,357,
0,1121,244,598,188,329,
0,1121,259,611,187,336,
0,1121,212,598,196,343,
0,1121,268,637,184,336,
0,1121,258,585,188,378,
0,1121,260,624,188,343,
0,1121,297,637,184,343,
0,1121,307,624,198,357,
0,1121,245,585,191,357,
0,1121,284,611,183,350,
0,1121,306,624,198,378,
0,1121,280,637,199,350,
0,1121,235,611,189,343,
0,1121,259,637,200,371,
0,1121,300,624,184,371,
0,1121,323,650,194,343,
0,1121,232,611,197,350,
0,1121,244,598,196,343,
0,1121,278,624,181,350,
0,1121,237,585,198,378,
0,1121,286,637,196,357,
0,1121,227,585,193,350,
0,1121,270,598,191,364,
0,1121,258,598,176,350,
0,1121,282,624,180,343,
0,1121,274,637,189,350,
0,1121,317,624,189,357,
0,1121,251,598,183,371,
0,1121,286,598,174,364,
0,1121,352,637,178,364,
0,1121,241,611,204,336,
0,1121,282,637,185,364,
0,1121,298,637,182,364,
0,1121,234,611,196,357,
0,1121,297,611,190,357,
0,1121,254,598,200,371,
0,1121,241,611,195,350,
0,1121,242,611,191,364,
0,1121,238,611,194,343,
0,1121,275,611,186,378,
0,1121,223,598,190,357,
0,1121,294,624,197,357,
0,1121,224,611,193,343,
0,1121,274,598,192,350,
0,1121,247,611,183,343,
0,1121,260,611,196,350,
0,1121,290,637,192,364,
0,1121,259,598,205,350,
0,1121,272,611,178,350,
0,1121,246,598,192,350,
0,1121,292,637,191,364,
0,1121,218,572,199,357,
0,1121,261,598,198,357,
0,1121,308,598,189,357,
0,1121,319,650,173,350,
0,1121,296,663,187,343,
0,1121,248,598,188,357,
0,1121,279,624,193,364,
0,1121,271,598,186,357,
0,1121,248,611,192,343,
0,1121,278,611,184,350,
0,1121,304,637,186,378,
0,1121,234,598,202,364,
0,1121,283,598,184,357,
0,1121,287,585,174,343,
0,1121,247,624,180,350,
0,1121,276,611,190,350,
0,1121,308,624,195,357,
0,1121,264,624,183,357,
0,1121,295,611,196,357,
0,1121,251,611,183,350,
0,1121,248,598,201,350,
0,1121,287,650,199,357,
0,1121,222,611,202,357,
0,1121,261,598,189,357,
0,1121,294,624,191,343,
0,1121,239,611,178,322,
0,1121,270,611,193,371,
0,1121,248,585,188,350,

0,1121,310,676,303,476,
0,1121,313,663,294,462,
0,1121,317,676,286,448,
0,1121,380,715,286,455,
0,1121,314,663,281,462,
0,1121,393,702,272,441,
0,1121,361,702,286,455,
0,1121,348,715,276,434,
0,1121,371,689,290,476,
0,1121,295,650,298,448,
0,1121,354,663,283,462,
0,1121,307,689,298,462,
0,1121,338,676,276,441,
0,1121,345,702,270,441,
0,1121,324,663,277,455,
0,1121,332,689,286,455,
0,1121,296,663,290,420,
0,1121,296,689,281,441,
0,1121,340,676,267,441,
0,1121,340,676,279,455,
0,1121,298,637,285,448,
0,1121,294,663,274,455,
0,1121,332,663,274,455,
0,1121,339,689,280,434,
0,1121,315,663,279,455,
0,1121,351,702,280,455,
0,1121,331,689,276,448,
0,1121,325,689,277,441,
0,1121,332,676,289,469,
0,1121,299,663,303,441,
0,1121,351,663,278,448,
0,1121,339,702,289,462,
0,1121,359,689,285,455,
0,1121,350,702,275,434,
0,1121,334,676,295,469,
0,1121,300,663,284,455,
0,1121,314,689,299,441,
0,1121,375,715,277,469,
0,1121,323,689,286,448,
0,1121,319,689,290,420,
0,1121,328,676,291,455,
0,1121,313,676,293,455,
0,1121,315,715,290,434,
0,1121,338,702,272,434,
0,1121,285,637,283,427,
0,1121,323,689,277,420,
0,1121,354,663,279,462,
0,1121,355,689,290,469,
0,1121,362,676,279,448,
0,1121,322,676,270,434,
0,1121,282,663,279,455,
0,1121,360,676,288,469,
0,1121,357,676,278,455,
0,1121,337,676,281,448,
0,1121,331,663,285,441,
0,1121,308,676,288,455,
0,1121,370,702,276,462,
0,1121,394,689,280,469,
0,1121,311,650,286,462,
0,1121,292,650,283,462,
0,1121,305,650,273,469,
0,1121,302,650,276,441,
0,1121,303,663,293,455,
0,1121,320,689,282,427,
0,1121,353,689,271,448,
0,1121,324,676,274,434,
0,1121,359,689,276,476,
0,1121,341,715,284,434,
0,1121,353,689,292,469,
0,1121,382,715,257,420,
0,1121,325,650,279,448,
0,1121,324,663,277,455,
0,1121,312,624,293,455,
0,1121,268,689,286,455,
0,1121,312,689,287,448,
0,1121,338,702,278,427,
0,1121,309,676,286,448,
0,1121,307,663,277,448,
0,1121,310,637,286,455,
0,1121,327,702,285,455,
0,1121,363,702,273,434,
0,1121,310,676,286,427,
0,1121,327,702,276,448,
0,1121,306,676,289,455,
0,1121,303,663,279,448,
0,1121,325,689,282,448,
0,1121,380,715,261,448,
0,1121,317,676,281,448,
0,1121,348,676,282,448,
0,1121,334,637,282,434,
0,1121,352,689,290,434,
0,1121,336,702,279,441,
0,1121,348,689,281,462,
0,1121,321,702,297,448,
0,1121,316,663,278,441,
0,1121,345,676,275,448,
0,1121,349,676,282,462,
0,1121,294,663,268,434,
0,1121,318,650,278,455,
0,1121,323,663,275,448,

0,1121,401,728,382,560,
0,1121,389,715,369,539,
0,1121,397,741,360,525,
0,1121,382,741,382,532,
0,1121,379,728,369,546,
0,1121,371,728,364,525,
0,1121,376,741,374,525,
0,1121,383,741,358,532,
0,1121,383,728,374,532,
0,1121,405,754,370,532,
0,1121,396,741,369,539,
0,1121,392,741,372,546,
0,1121,415,741,354,518,
0,1121,310,715,354,504,
0,1121,389,728,362,539,
0,1121,416,728,367,539,
0,1121,399,754,348,525,
0,1121,340,715,366,532,
0,1121,386,728,350,518,
0,1121,393,741,364,539,
0,1121,386,728,366,539,
0,1121,419,767,345,518,
0,1121,418,728,346,532,
0,1121,384,728,359,518,
0,1121,387,741,359,532,
0,1121,390,741,359,525,
0,1121,403,767,356,525,
0,1121,347,741,362,504,
0,1121,394,741,362,546,
0,1121,399,754,377,553,
0,1121,403,754,359,539,
0,1121,400,754,367,532,
0,1121,379,715,364,553,
0,1121,375,754,367,546,
0,1121,464,767,367,546,
0,1121,373,715,362,539,
0,1121,363,741,377,532,
0,1121,410,780,362,546,
0,1121,422,767,360,525,
0,1121,367,728,374,525,
0,1121,418,754,361,546,
0,1121,395,728,374,553,
0,1121,367,728,357,518,
0,1121,382,728,350,532,
0,1121,378,715,347,525,
0,1121,404,728,355,532,
0,1121,373,715,368,532,
0,1121,427,767,366,539,
0,1121,397,780,361,525,
0,1121,365,689,342,518,
0,1121,368,728,354,532,
0,1121,373,767,377,532,
0,1121,392,741,354,539,
0,1121,396,741,363,539,
0,1121,403,702,357,546,
0,1121,366,728,376,539,
0,1121,440,754,352,546,
0,1121,361,728,379,553,
0,1121,386,728,360,546,
0,1121,359,702,361,525,
0,1121,379,715,357,511,
0,1121,359,728,359,532,
0,1121,411,741,369,546,
0,1121,383,728,355,532,
0,1121,376,715,358,539,
0,1121,389,741,358,525,
0,1121,419,767,355,532,
0,1121,379,741,364,518,
0,1121,386,728,374,546,
0,1121,393,741,346,539,
0,1121,391,728,358,539,
0,1121,414,741,363,518,
0,1121,428,767,365,546,
0,1121,385,728,358,532,
0,1121,398,754,362,532,
0,1121,369,715,362,532,
0,1121,392,702,353,553,
0,1121,396,728,352,525,
0,1121,355,715,363,539,
0,1121,413,728,364,518,
0,1121,413,767,351,532,
0,1121,390,741,357,546,
0,1121,376,715,358,539,
0,1121,386,741,367,546,
0,1121,332,728,358,532,
0,1121,364,728,364,546,
0,1121,397,741,357,518,
0,1121,375,728,352,553,
0,1121,355,728,363,525,
0,1121,373,754,361,532,
0,1121,379,728,373,560,
0,1121,397,754,361,539,
0,1121,420,767,361,511,
0,1121,374,728,372,546,
0,1121,348,728,361,539,
0,1121,394,728,353,511,
0,1121,395,728,364,518,
0,1121,355,715,354,532,
0,1121,357,728,365,539,
0,1121,390,715,358,532,

0,1121,461,806,447,623,
0,1121,402,767,440,602,
0,1121,403,780,439,609,
0,1121,451,780,445,616,
0,1121,456,793,435,623,
0,1121,428,767,437,602,
0,1121,406,780,442,602,
0,1121,425,780,428,623,
0,1121,475,793,439,609,
0,1121,428,780,443,616,
0,1121,427,754,437,623,
0,1121,414,793,447,623,
0,1121,444,806,424,602,
0,1121,431,767,412,609,
0,1121,464,806,425,616,
0,1121,436,793,439,616,
0,1121,453,793,415,602,
0,1121,409,793,438,595,
0,1121,404,767,422,588,
0,1121,460,793,428,623,
0,1121,429,780,434,595,
0,1121,441,780,425,595,
0,1121,352,767,430,588,
0,1121,414,767,427,588,
0,1121,417,780,433,588,
0,1121,425,767,429,602,
0,1121,459,793,426,602,
0,1121,431,780,431,616,
0,1121,457,780,427,616,
0,1121,481,806,446,630,
0,1121,504,819,428,609,
0,1121,410,767,433,602,
0,1121,382,754,446,602,
0,1121,449,780,437,616,
0,1121,409,832,454,595,
0,1121,443,806,429,588,
0,1121,490,793,439,616,
0,1121,476,780,434,595,
0,1121,438,780,431,616,
0,1121,437,780,444,623,
0,1121,445,793,439,609,
0,1121,424,793,437,623,
0,1121,441,793,429,581,
0,1121,419,780,430,588,
0,1121,441,793,428,602,
0,1121,395,767,432,581,
0,1121,435,780,431,609,
0,1121,424,767,439,616,
0,1121,431,793,439,602,
0,1121,408,741,414,609,
0,1121,390,780,429,595,
0,1121,410,780,446,623,
0,1121,438,793,434,609,
0,1121,469,754,441,602,
0,1121,446,793,422,602,
0,1121,414,767,442,616,
0,1121,446,793,429,581,
0,1121,428,780,454,623,
0,1121,447,819,422,588,
0,1121,457,806,429,588,
0,1121,426,780,429,609,
0,1121,419,767,427,609,
0,1121,450,780,429,630,
0,1121,421,754,423,609,
0,1121,416,767,432,595,
0,1121,481,806,427,616,
0,1121,446,806,427,602,
0,1121,417,767,432,616,
0,1121,460,793,443,616,
0,1121,432,780,422,609,
0,1121,427,767,436,616,
0,1121,401,767,433,602,
0,1121,471,819,431,602,
0,1121,447,793,427,588,
0,1121,451,780,434,616,
0,1121,390,754,435,609,
0,1121,425,780,434,609,
0,1121,468,806,422,588,
0,1121,426,780,429,609,
0,1121,430,793,432,602,
0,1121,429,780,422,602,
0,1121,447,780,433,609,
0,1121,420,780,433,588,
0,1121,455,780,426,609,
0,1121,391,754,423,595,
0,1121,453,793,442,616,
0,1121,428,754,424,560,
0,1121,405,767,429,602,
0,1121,416,780,442,616,
0,1121,427,754,430,630,
0,1121,444,793,447,609,
0,1121,403,793,445,595,
0,1121,419,793,438,574,
0,1121,427,793,446,623,
0,1121,463,780,428,595,
0,1121,428,780,434,609,
0,1121,409,754,432,602,
0,1121,425,767,426,595,
0,1121,446,793,437,616,
0,1121,416,780,420,609,

0,1121,495,819,509,686,
0,1121,462,845,499,672,
0,1121,460,819,500,679,
0,1121,481,819,502,686,
0,1121,488,819,498,679,
0,1121,445,793,502,679,
0,1121,466,819,496,672,
0,1121,452,819,490,672,
0,1121,481,832,500,679,
0,1121,474,832,506,686,
0,1121,520,871,490,686,
0,1121,494,858,510,665,
0,1121,463,819,487,651,
0,1121,441,819,481,644,
0,1121,466,832,494,672,
0,1121,466,832,498,679,
0,1121,469,845,488,672,
0,1121,463,832,505,665,
0,1121,496,832,479,658,
0,1121,472,832,489,686,
0,1121,438,819,502,665,
0,1121,479,845,490,658,
0,1121,442,806,490,644,
0,1121,487,819,489,665,
0,1121,471,819,490,665,
0,1121,458,806,490,658,
0,1121,452,819,493,665,
0,1121,505,845,485,686,
0,1121,495,845,492,665,
0,1121,501,832,509,693,
0,1121,491,845,491,672,
0,1121,470,806,498,672,
0,1121,495,819,495,665,
0,1121,483,793,502,672,
0,1121,500,845,506,665,
0,1121,462,819,489,651,
0,1121,516,858,503,693,
0,1121,497,858,494,665,
0,1121,479,806,489,665,
0,1121,484,806,502,686,
0,1121,506,845,490,665,
0,1121,502,832,504,686,
0,1121,461,819,491,665,
0,1121,507,832,483,679,
0,1121,486,832,497,658,
