
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

inhibitor,activator,inhibitor_dt,activator_dt,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.333,0.420822,0.066,
0.24,0.333,0.61494,0.066,
-0.148237,0.187242,0.395332,-0.225515,

0.36,0.51,0.9324,0.12,
-0.201844,0.271449,0.585153,-0.357103,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
-0.201844,0.503,0.647418,0.106,
0.36,0.503,0.92834,0.106,
